Date,Close,High,Low,Open,Volume
1999-01-22,0.03760697320103645,0.044769679366149916,0.03557698923942547,0.04011373608373559,2714688000
1999-01-25,0.04154684394598007,0.0420236230352775,0.03760698646890765,0.04059144813932767,510480000
1999-01-26,0.0383230485022068,0.04285979393846596,0.037726154514565347,0.04202359516651217,343200000
1999-01-27,0.03820385783910751,0.039397642578027095,0.03629307062165401,0.03844224726146845,244368000
1999-01-28,0.0380837582051754,0.03844225955912675,0.03784536870655379,0.03820387006050514,227520000
1999-01-29,0.03629307821393013,0.038203865831107985,0.03629307821393013,0.03808375398907534,244032000
1999-02-01,0.037010081112384796,0.03724847058635392,0.03629307847862921,0.03629307847862921,154704000
1999-02-02,0.0341448038816452,0.037248460250838736,0.033070215627275,0.03629306840821134,264096000
1999-02-03,0.03486090153455734,0.03533859930917276,0.033427811626375696,0.033667119920574015,75120000
1999-02-04,0.0367707684636116,0.03772616036927886,0.03486089321884773,0.03533859087951326,181920000
1999-02-05,0.03784535452723503,0.03820385574686863,0.03641318044438771,0.03736765689511688,136848000
1999-02-08,0.036532383412122726,0.03820386617398646,0.036532383412122726,0.03808375433087582,154080000
1999-02-09,0.03509930521249771,0.03748687600521128,0.03462160729114231,0.03724848303589964,86976000
1999-02-10,0.03474169969558716,0.03605467742478763,0.03414480562423619,0.035099285533401504,148224000
1999-02-11,0.03772617131471634,0.03915834589866555,0.0348609033329893,0.0348609033329893,132240000
1999-02-12,0.03987536206841469,0.04011375162129598,0.03820387875606411,0.03820387875606411,109728000
1999-02-16,0.04011372849345207,0.042262908486501355,0.03605467673632051,0.04059142613785533,211008000
1999-02-17,0.03796456381678581,0.03963604683977316,0.03724847646804879,0.039158349002648,67728000
1999-02-18,0.03856143727898598,0.03963602542050331,0.03748684913746864,0.03915832784152546,70704000
1999-02-19,0.03987536206841469,0.04059144954111908,0.03772618083624101,0.03820387875606411,75360000
1999-02-22,0.04011372849345207,0.04106912378225859,0.03796454850040278,0.04059142613785533,205248000
1999-02-23,0.04202362149953842,0.04285982079547508,0.03868157392644657,0.04106914454179584,138096000
1999-02-24,0.045366574078798294,0.050142629254180504,0.04429198557398789,0.048231841707940024,612768000
1999-02-25,0.0439344085752964,0.04870954932040788,0.04321740241240827,0.04727737120677008,149136000
1999-02-26,0.041904427111148834,0.04584428431935798,0.041546841110745344,0.04441210952114246,172608000
1999-03-01,0.042143721133470535,0.043934400282731344,0.040113737119446664,0.04297900478847809,92160000
1999-03-02,0.041785240173339844,0.042262938153064256,0.041069152610841084,0.042023629756114185,55248000
1999-03-03,0.03891995921730995,0.042023616915943154,0.0386815697073747,0.042023616915943154,61392000
1999-03-04,0.0380837582051754,0.04106913811322134,0.03772617224941055,0.040829829800748355,57360000
1999-03-05,0.040232934057712555,0.040352127084702566,0.03844225488632763,0.03844225488632763,78768000
1999-03-08,0.04082983359694481,0.04202361882874904,0.038442263133336346,0.039158350509631526,75888000
1999-03-09,0.042143721133470535,0.042740615321778946,0.040710631307755075,0.040710631307755075,143184000
1999-03-10,0.04142672196030617,0.04274061886956746,0.04082982772245111,0.04274061886956746,235344000
